"alert__week","alert__year","alert__count","confidence__cat"
52,2023,9,"n"
41,2023,2,"h"
41,2023,2,"l"
41,2023,55,"n"
40,2023,3,"l"
40,2023,5,"h"
40,2023,216,"n"
39,2023,175,"n"
39,2023,3,"l"
39,2023,2,"h"
38,2023,8,"l"
38,2023,76,"n"
37,2023,200,"n"
37,2023,11,"l"
37,2023,2,"h"
36,2023,108,"n"
36,2023,4,"l"
35,2023,12,"l"
35,2023,5,"h"
35,2023,241,"n"
34,2023,153,"n"
34,2023,4,"h"
34,2023,6,"l"
33,2023,2,"h"
33,2023,115,"n"
33,2023,4,"l"
32,2023,1,"h"
32,2023,334,"n"
32,2023,8,"l"
31,2023,8,"l"
31,2023,36,"h"
31,2023,427,"n"
30,2023,421,"n"
30,2023,9,"l"
30,2023,7,"h"
29,2023,5,"l"
29,2023,195,"n"
28,2023,5,"l"
28,2023,121,"n"
27,2023,1,"h"
27,2023,77,"n"
27,2023,1,"l"
26,2023,178,"n"
26,2023,2,"l"
26,2023,1,"h"
25,2023,12,"l"
25,2023,246,"n"
25,2023,1,"h"
24,2023,161,"n"
24,2023,1,"h"
24,2023,1,"l"
23,2023,136,"n"
23,2023,1,"l"
22,2023,2,"h"
22,2023,9,"l"
22,2023,291,"n"
21,2023,3,"h"
21,2023,205,"n"
21,2023,2,"l"
20,2023,1,"h"
20,2023,3,"l"
20,2023,188,"n"
19,2023,12,"l"
19,2023,240,"n"
19,2023,2,"h"
18,2023,2,"l"
18,2023,89,"n"
17,2023,3,"l"
17,2023,1,"h"
17,2023,173,"n"
16,2023,7,"l"
16,2023,6,"h"
16,2023,250,"n"
15,2023,11,"h"
15,2023,373,"n"
15,2023,25,"l"
14,2023,3,"l"
14,2023,3,"h"
14,2023,167,"n"
13,2023,2,"h"
13,2023,218,"n"
13,2023,10,"l"
12,2023,158,"n"
12,2023,12,"l"
11,2023,35,"l"
11,2023,276,"n"
11,2023,3,"h"
10,2023,3,"h"
10,2023,203,"n"
10,2023,6,"l"
9,2023,35,"n"
9,2023,2,"l"
8,2023,97,"n"
8,2023,1,"l"
7,2023,11,"l"
7,2023,107,"n"
6,2023,45,"n"
6,2023,2,"l"
5,2023,25,"n"
4,2023,8,"n"
3,2023,75,"n"
3,2023,1,"h"
3,2023,1,"l"
2,2023,1,"l"
2,2023,90,"n"
2,2023,1,"h"
1,2023,37,"n"
52,2022,2,"l"
52,2022,43,"n"
51,2022,27,"n"
50,2022,40,"n"
