country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Malaysia,Johor,Batu Pahat,0,198079,198079,198079,9538,3985,2155,1510,3118,3041,2055,4488,1122,3214,1380,4639,2838,1431,3190,2794,5015,4308,3964,3957,2922,3246,2314
Malaysia,Johor,Batu Pahat,10,198079,165072,164908,9538,3970,2146,1504,3103,3026,2044,4467,1118,3195,1378,4627,2816,1375,2985,2584,4555,3937,3525,3403,2541,2679,1990
Malaysia,Johor,Batu Pahat,15,198079,163478,163208,9538,3967,2144,1502,3101,3023,2042,4464,1118,3192,1378,4626,2813,1371,2975,2572,4528,3917,3505,3380,2523,2661,1977
Malaysia,Johor,Batu Pahat,20,198079,162303,161964,9538,3961,2140,1500,3096,3020,2040,4460,1117,3190,1378,4624,2810,1369,2967,2563,4509,3902,3482,3359,2507,2644,1964
Malaysia,Johor,Batu Pahat,25,198079,161666,160772,9538,3959,2138,1499,3095,3019,2039,4459,1116,3188,1377,4622,2809,1368,2962,2558,4498,3895,3472,3351,2501,2636,1957
Malaysia,Johor,Batu Pahat,30,198079,160446,159894,9538,3954,2136,1498,3092,3017,2038,4457,1115,3186,1377,4621,2807,1363,2952,2550,4477,3879,3457,3334,2489,2622,1948
Malaysia,Johor,Batu Pahat,50,198079,153927,152517,9538,3917,2112,1480,3062,2991,2022,4423,1107,3168,1374,4604,2788,1346,2902,2510,4367,3802,3387,3244,2421,2545,1886
Malaysia,Johor,Batu Pahat,75,198079,130399,132511,9538,3664,1947,1369,2838,2791,1906,4197,1040,3024,1339,4475,2677,1263,2664,2269,3837,3420,3038,2867,2120,2187,1611
Malaysia,Johor,Johor Baharu,0,97833,97833,97833,4060,744,994,457,1457,1601,2165,722,588,2045,1557,962,1695,913,2249,1442,1745,1962,2187,2118,1598,1222,477
Malaysia,Johor,Johor Baharu,10,97833,56373,48816,4060,735,984,453,1440,1583,2149,714,586,2039,1553,958,1670,854,2061,1260,1492,1705,1954,1916,1426,991,380
Malaysia,Johor,Johor Baharu,15,97833,55438,47677,4060,732,983,452,1436,1579,2147,712,586,2037,1553,957,1668,850,2050,1249,1475,1694,1944,1901,1417,976,376
Malaysia,Johor,Johor Baharu,20,97833,55011,47124,4060,731,980,452,1434,1577,2144,711,585,2036,1552,957,1666,848,2042,1244,1466,1687,1938,1894,1413,967,374
Malaysia,Johor,Johor Baharu,25,97833,54665,46431,4060,731,978,451,1432,1576,2143,710,585,2036,1552,957,1666,847,2037,1240,1460,1681,1932,1889,1410,964,371
Malaysia,Johor,Johor Baharu,30,97833,54076,45497,4060,729,976,451,1429,1574,2141,710,584,2035,1551,956,1664,844,2025,1232,1444,1667,1923,1877,1404,954,367
Malaysia,Johor,Johor Baharu,50,97833,51632,41123,4060,714,956,443,1392,1544,2111,701,579,2018,1544,950,1648,830,1978,1189,1388,1621,1881,1819,1374,908,349
Malaysia,Johor,Johor Baharu,75,97833,43363,33642,4060,611,823,403,1179,1346,1909,624,545,1903,1475,915,1571,763,1757,974,1163,1407,1712,1656,1230,715,272
Malaysia,Johor,Keluang,0,287337,287337,287337,17954,12402,8171,4661,9723,6871,6824,7063,3144,8576,6073,13174,7942,5204,8788,6899,8298,9795,6155,7088,5975,5853,4445
Malaysia,Johor,Keluang,10,287337,242618,241892,17954,12315,8131,4630,9671,6848,6808,7034,3136,8556,6066,13151,7879,4963,8155,6481,7522,8983,5655,6393,5061,4639,3447
Malaysia,Johor,Keluang,15,287337,240879,240176,17954,12296,8124,4624,9663,6843,6805,7029,3133,8552,6064,13146,7872,4951,8121,6455,7480,8941,5628,6354,5024,4595,3406
Malaysia,Johor,Keluang,20,287337,239491,238217,17954,12280,8115,4616,9650,6836,6801,7023,3131,8547,6063,13141,7868,4937,8083,6426,7446,8907,5610,6324,4994,4563,3376
Malaysia,Johor,Keluang,25,287337,238772,236925,17954,12272,8111,4613,9644,6834,6800,7021,3131,8545,6062,13139,7865,4932,8066,6411,7428,8893,5598,6310,4979,4543,3360
Malaysia,Johor,Keluang,30,287337,237610,235609,17954,12259,8105,4610,9640,6831,6798,7019,3129,8543,6061,13136,7860,4923,8046,6396,7399,8861,5579,6283,4958,4512,3338
Malaysia,Johor,Keluang,50,287337,231234,227831,17954,12125,8044,4571,9573,6787,6766,6975,3114,8506,6047,13097,7823,4859,7890,6284,7233,8700,5473,6148,4833,4362,3230
Malaysia,Johor,Keluang,75,287337,207777,205282,17954,11502,7669,4314,9093,6454,6509,6671,3003,8232,5935,12858,7634,4610,7361,5891,6597,7969,4952,5527,4151,3624,2635
Malaysia,Johor,Kota Tinggi,0,340495,340495,340495,20695,7340,11092,2200,14120,14047,9159,6576,5270,10177,6295,8646,6658,6051,11444,5966,8024,8275,5718,4983,3580,4502,2104
Malaysia,Johor,Kota Tinggi,10,340495,291909,284000,20695,7297,11066,2189,14080,14001,9140,6567,5265,10165,6284,8627,6594,5833,10817,5520,7321,7708,5310,4527,3239,4085,1822
Malaysia,Johor,Kota Tinggi,15,340495,290110,281377,20695,7287,11060,2186,14070,13992,9135,6565,5264,10163,6281,8625,6589,5823,10787,5499,7274,7672,5285,4502,3221,4056,1805
Malaysia,Johor,Kota Tinggi,20,340495,288881,279433,20695,7276,11051,2184,14056,13979,9131,6563,5262,10162,6280,8623,6584,5812,10761,5480,7242,7649,5268,4481,3209,4037,1791
Malaysia,Johor,Kota Tinggi,25,340495,288137,277952,20695,7270,11048,2183,14050,13972,9130,6562,5262,10161,6279,8622,6582,5806,10747,5469,7223,7633,5256,4470,3202,4027,1785
Malaysia,Johor,Kota Tinggi,30,340495,286743,276055,20695,7262,11044,2180,14041,13963,9126,6562,5261,10159,6277,8620,6577,5798,10711,5447,7179,7601,5234,4447,3188,4006,1773
Malaysia,Johor,Kota Tinggi,50,340495,279681,263593,20695,7177,10991,2154,13940,13872,9089,6541,5247,10134,6257,8596,6545,5734,10550,5331,6974,7440,5063,4321,3117,3904,1719
Malaysia,Johor,Kota Tinggi,75,340495,251855,234140,20695,6820,10558,1977,12969,13220,8735,6360,5128,9870,6062,8409,6335,5422,9590,4739,6034,6724,4408,3716,2748,3398,1380
Malaysia,Johor,Kulaijaya,0,75770,75770,75770,6265,1812,1739,267,1588,1634,1882,1887,388,1703,1039,1285,1220,1437,2593,2180,2533,1850,2124,1303,1018,1052,601
Malaysia,Johor,Kulaijaya,10,75770,57319,57715,6265,1774,1706,266,1573,1621,1873,1883,386,1699,1034,1275,1204,1381,2448,2066,2252,1636,1983,1160,888,799,523
Malaysia,Johor,Kulaijaya,15,75770,56773,57184,6265,1764,1701,266,1570,1618,1871,1882,385,1698,1034,1274,1202,1377,2439,2060,2234,1627,1976,1152,882,791,515
Malaysia,Johor,Kulaijaya,20,75770,56409,56732,6265,1760,1695,266,1566,1614,1869,1882,385,1697,1033,1273,1201,1375,2435,2056,2223,1620,1971,1145,878,786,512
Malaysia,Johor,Kulaijaya,25,75770,56198,56371,6265,1752,1689,266,1564,1613,1869,1882,385,1697,1033,1273,1200,1374,2432,2055,2218,1616,1968,1143,875,784,511
Malaysia,Johor,Kulaijaya,30,75770,55772,55931,6265,1749,1685,265,1563,1612,1868,1881,385,1697,1033,1272,1199,1372,2423,2048,2202,1608,1962,1136,868,777,505
Malaysia,Johor,Kulaijaya,50,75770,54045,53525,6265,1714,1644,263,1545,1592,1858,1875,381,1689,1029,1266,1192,1362,2398,2030,2143,1577,1937,1107,847,752,485
Malaysia,Johor,Kulaijaya,75,75770,47708,47737,6265,1581,1503,242,1409,1450,1794,1833,354,1608,1003,1235,1145,1310,2249,1935,1957,1438,1808,979,751,647,414
Malaysia,Johor,Ledang,0,95344,95344,95344,6654,2449,2065,1471,1097,2022,894,1583,1034,2693,313,2485,2102,797,2004,1482,3322,2638,2330,2697,2222,1764,1474
Malaysia,Johor,Ledang,10,95344,78925,79694,6654,2441,2060,1469,1092,2011,892,1581,1032,2689,312,2481,2087,775,1893,1411,3077,2432,2094,2325,1817,1468,1206
Malaysia,Johor,Ledang,15,95344,78249,79047,6654,2440,2060,1468,1091,2009,892,1580,1031,2689,312,2481,2086,774,1888,1406,3063,2422,2084,2309,1798,1456,1197
Malaysia,Johor,Ledang,20,95344,77652,78317,6654,2437,2058,1467,1088,2005,891,1580,1031,2688,312,2480,2085,773,1883,1402,3053,2412,2073,2296,1785,1444,1185
Malaysia,Johor,Ledang,25,95344,77348,77715,6654,2437,2058,1467,1088,2003,891,1580,1031,2688,312,2480,2084,773,1881,1401,3049,2407,2069,2290,1775,1438,1181
Malaysia,Johor,Ledang,30,95344,76879,77399,6654,2435,2057,1465,1086,2002,891,1579,1031,2687,312,2479,2084,772,1878,1399,3040,2399,2059,2280,1764,1431,1174
Malaysia,Johor,Ledang,50,95344,74063,74357,6654,2417,2045,1458,1070,1981,884,1570,1026,2678,311,2472,2073,764,1851,1380,2986,2346,2012,2225,1697,1375,1128
Malaysia,Johor,Ledang,75,95344,63852,65570,6654,2257,1910,1343,972,1797,838,1477,977,2588,307,2419,2021,727,1729,1277,2700,2120,1808,1979,1427,1160,927
Malaysia,Johor,Mersing,0,299319,299319,299319,7963,3937,1872,467,1849,3354,4517,5464,2868,5711,9493,7596,6713,4568,7716,3794,5362,4262,3917,2725,2340,1951,2093
Malaysia,Johor,Mersing,10,299319,278128,266063,7963,3906,1867,466,1838,3327,4501,5449,2859,5700,9482,7573,6637,4346,7301,3651,4910,4060,3745,2510,2108,1718,1716
Malaysia,Johor,Mersing,15,299319,277300,264693,7963,3898,1866,466,1836,3322,4499,5447,2858,5699,9480,7570,6631,4336,7282,3644,4889,4049,3739,2502,2098,1709,1701
Malaysia,Johor,Mersing,20,299319,276755,263575,7963,3893,1865,466,1833,3318,4497,5445,2857,5698,9479,7567,6625,4328,7267,3638,4876,4042,3734,2498,2092,1704,1692
Malaysia,Johor,Mersing,25,299319,276377,262596,7963,3885,1864,466,1831,3314,4495,5444,2856,5697,9478,7566,6622,4324,7258,3634,4865,4038,3731,2495,2086,1699,1685
Malaysia,Johor,Mersing,30,299319,275655,261553,7963,3878,1863,466,1829,3311,4493,5443,2855,5697,9477,7563,6617,4313,7237,3628,4844,4030,3726,2489,2074,1689,1674
Malaysia,Johor,Mersing,50,299319,272162,254189,7963,3815,1855,463,1804,3271,4462,5425,2843,5679,9455,7545,6587,4252,7130,3587,4751,3985,3693,2456,2029,1650,1610
Malaysia,Johor,Mersing,75,299319,258391,240107,7963,3612,1809,449,1707,3073,4265,5270,2743,5536,9252,7407,6404,3912,6551,3353,4255,3765,3501,2276,1800,1437,1382
Malaysia,Johor,Muar,0,139112,139112,139112,6875,2020,1525,804,2023,1956,1942,3730,1190,3588,660,3375,2349,1517,4981,2514,3787,3226,2572,2843,2180,1389,1400
Malaysia,Johor,Muar,10,139112,119817,118263,6875,2015,1518,801,2017,1953,1939,3726,1189,3581,660,3369,2325,1455,4746,2390,3477,2995,2353,2380,1821,1164,1217
Malaysia,Johor,Muar,15,139112,118953,117260,6875,2014,1517,801,2017,1952,1939,3724,1188,3581,659,3369,2323,1452,4734,2384,3458,2980,2342,2362,1806,1152,1209
Malaysia,Johor,Muar,20,139112,118286,116433,6875,2011,1515,800,2014,1951,1938,3723,1188,3580,659,3367,2322,1450,4722,2377,3441,2968,2334,2344,1793,1143,1202
Malaysia,Johor,Muar,25,139112,117892,115602,6875,2011,1515,800,2013,1950,1937,3722,1188,3579,659,3367,2321,1450,4716,2374,3429,2961,2328,2337,1785,1138,1196
Malaysia,Johor,Muar,30,139112,117233,115099,6875,2010,1513,799,2012,1949,1936,3721,1186,3578,659,3366,2319,1448,4706,2368,3415,2950,2320,2325,1776,1131,1188
Malaysia,Johor,Muar,50,139112,113876,110900,6875,1999,1502,794,1999,1937,1930,3707,1180,3566,656,3359,2308,1435,4643,2340,3340,2893,2276,2256,1725,1090,1146
Malaysia,Johor,Muar,75,139112,102294,100231,6875,1920,1444,757,1889,1858,1882,3591,1140,3475,642,3307,2257,1377,4412,2218,3000,2664,2095,1985,1516,938,991
Malaysia,Johor,Pontian,0,90704,90704,90704,3108,908,589,248,926,1140,944,1308,765,1661,951,2371,1239,611,1723,1321,2184,2997,1344,1415,1049,1362,791
Malaysia,Johor,Pontian,10,90704,80078,75317,3108,900,587,248,924,1139,943,1307,763,1659,950,2365,1219,569,1543,1209,1956,2720,1236,1330,971,1262,714
Malaysia,Johor,Pontian,15,90704,79412,74004,3108,898,586,247,924,1138,942,1307,763,1659,950,2364,1218,567,1530,1202,1940,2696,1228,1325,966,1254,709
Malaysia,Johor,Pontian,20,90704,78879,73278,3108,896,585,247,923,1138,942,1307,763,1658,950,2363,1217,565,1519,1195,1927,2671,1221,1318,960,1246,703
Malaysia,Johor,Pontian,25,90704,78558,72361,3108,894,585,247,923,1137,942,1307,763,1658,950,2363,1217,564,1517,1192,1919,2662,1217,1315,957,1242,701
Malaysia,Johor,Pontian,30,90704,77928,71773,3108,892,585,247,923,1137,941,1306,763,1658,950,2362,1216,562,1508,1187,1907,2646,1212,1309,950,1234,695
Malaysia,Johor,Pontian,50,90704,74484,66485,3108,875,577,244,918,1131,937,1300,760,1651,947,2354,1208,547,1450,1146,1819,2523,1161,1269,920,1188,659
Malaysia,Johor,Pontian,75,90704,61598,53218,3108,810,534,229,855,1059,884,1241,724,1582,919,2269,1163,479,1249,976,1519,2047,993,1090,774,963,517
Malaysia,Johor,Segamat,0,287492,287492,287492,19161,8725,5472,1512,5017,8692,6292,6537,2168,7342,548,13261,6495,3646,8546,5757,9633,8961,5859,5762,3763,3664,4128
Malaysia,Johor,Segamat,10,287492,255394,250215,19161,8620,5432,1504,4987,8653,6277,6528,2163,7331,548,13252,6473,3600,8348,5572,9229,8508,5352,5032,3208,3126,3232
Malaysia,Johor,Segamat,15,287492,254079,248937,19161,8600,5423,1503,4984,8642,6275,6526,2163,7328,548,13250,6470,3596,8334,5564,9205,8481,5324,4996,3179,3099,3197
Malaysia,Johor,Segamat,20,287492,252874,246802,19161,8570,5410,1500,4978,8628,6270,6522,2161,7325,548,13248,6466,3593,8324,5555,9184,8454,5297,4965,3151,3074,3161
Malaysia,Johor,Segamat,25,287492,252352,245707,19161,8557,5406,1498,4974,8622,6269,6521,2161,7324,548,13247,6465,3593,8319,5551,9175,8444,5287,4954,3141,3067,3145
Malaysia,Johor,Segamat,30,287492,251442,244792,19161,8535,5395,1497,4970,8613,6266,6519,2160,7321,548,13245,6463,3590,8308,5543,9156,8422,5266,4933,3122,3048,3122
Malaysia,Johor,Segamat,50,287492,246279,237575,19161,8373,5312,1480,4924,8515,6237,6488,2150,7294,547,13223,6443,3570,8249,5500,9047,8294,5144,4793,3028,2955,3009
Malaysia,Johor,Segamat,75,287492,224449,215670,19161,7458,4729,1312,4493,7720,5940,6205,2036,7021,542,12953,6285,3441,7889,5223,8372,7635,4542,4167,2656,2456,2448
Malaysia,Kedah,Baling,0,153473,153473,153473,5391,576,2086,923,975,1397,883,737,1594,1331,2102,1873,1656,1150,3459,2543,3534,2927,3063,2185,2057,1736,1523
Malaysia,Kedah,Baling,10,153473,140497,139905,5391,566,2077,920,972,1391,882,735,1590,1328,2099,1861,1590,998,3092,2430,3346,2748,2785,2029,1720,1356,1208
Malaysia,Kedah,Baling,15,153473,139834,139244,5391,564,2074,919,971,1390,881,734,1590,1328,2099,1861,1587,992,3081,2426,3339,2742,2774,2016,1705,1342,1195
Malaysia,Kedah,Baling,20,153473,139337,138762,5391,562,2071,918,970,1388,881,734,1589,1327,2098,1859,1583,989,3071,2416,3332,2734,2765,2004,1694,1331,1186
Malaysia,Kedah,Baling,25,153473,139071,138156,5391,562,2070,918,969,1387,881,733,1588,1327,2098,1859,1582,987,3068,2414,3329,2731,2762,2000,1689,1326,1182
Malaysia,Kedah,Baling,30,153473,138537,137812,5391,561,2068,917,969,1387,880,732,1588,1327,2097,1858,1579,984,3061,2410,3323,2725,2753,1988,1678,1318,1173
Malaysia,Kedah,Baling,50,153473,135955,135042,5391,549,2050,905,960,1370,874,727,1575,1321,2092,1853,1572,969,3021,2392,3291,2687,2699,1927,1631,1269,1137
Malaysia,Kedah,Baling,75,153473,127344,127006,5391,454,1784,660,839,1165,738,685,1458,1233,2029,1822,1542,902,2841,2294,3146,2536,2490,1683,1420,1074,997
Malaysia,Kedah,Bandar Baharu,0,27058,27058,27058,1756,93,461,174,343,471,306,329,238,604,730,218,549,426,767,486,394,538,544,655,634,586,403
Malaysia,Kedah,Bandar Baharu,10,27058,22120,22310,1756,92,460,174,342,470,305,329,238,603,730,218,547,413,735,471,354,511,501,560,499,475,317
Malaysia,Kedah,Bandar Baharu,15,27058,21888,21999,1756,92,459,174,342,470,305,328,238,603,730,218,547,413,733,470,352,510,498,557,496,470,315
Malaysia,Kedah,Bandar Baharu,20,27058,21724,21848,1756,92,459,174,342,470,305,328,238,603,730,218,546,412,732,470,351,509,497,553,494,465,314
