year,subnational1,area_ha,carbon_gross_emissions
2001,Other,9601474,36988936
2001,Pahang,3585238,15513022
2001,Sabah,7372091,30504940
2001,Sarawak,12379545,50220307
2002,Other,9601474,40562017
2002,Pahang,3585238,21121808
2002,Sabah,7372091,29345748
2002,Sarawak,12379545,52419183
2003,Other,9601474,19315460
2003,Pahang,3585238,9584388
2003,Sabah,7372091,18733443
2003,Sarawak,12379545,60203695
2004,Other,9601474,42877830
2004,Pahang,3585238,21889527
2004,Sabah,7372091,43712671
2004,Sarawak,12379545,91244840
2005,Other,9601474,49853778
2005,Pahang,3585238,31515413
2005,Sabah,7372091,39521412
2005,Sarawak,12379545,103637432
2006,Other,9601474,40671109
2006,Pahang,3585238,23872638
2006,Sabah,7372091,44465205
2006,Sarawak,12379545,97956150
2007,Other,9601474,56154264
2007,Pahang,3585238,23869649
2007,Sabah,7372091,35082789
2007,Sarawak,12379545,152903678
2008,Other,9601474,40630432
2008,Pahang,3585238,17733488
2008,Sabah,7372091,47199903
2008,Sarawak,12379545,140234290
2009,Other,9601474,80758912
2009,Pahang,3585238,29796939
2009,Sabah,7372091,55672027
2009,Sarawak,12379545,253369034
2010,Other,9601474,65809182
2010,Pahang,3585238,30006073
2010,Sabah,7372091,50929834
2010,Sarawak,12379545,117525138
2011,Other,9601474,68906299
2011,Pahang,3585238,26541969
2011,Sabah,7372091,39326584
2011,Sarawak,12379545,167511455
2012,Other,9601474,80523875
2012,Pahang,3585238,48103725
2012,Sabah,7372091,56421384
2012,Sarawak,12379545,225940181
2013,Other,9601474,40430710
2013,Pahang,3585238,21622693
2013,Sabah,7372091,29061513
2013,Sarawak,12379545,100817758
2014,Other,9601474,93006404
2014,Pahang,3585238,43501482
2014,Sabah,7372091,68404103
2014,Sarawak,12379545,170897158
2015,Other,9601474,61670133
2015,Pahang,3585238,31278330
2015,Sabah,7372091,51989474
2015,Sarawak,12379545,112170381
2016,Other,9601474,84370142
2016,Pahang,3585238,55409537
2016,Sabah,7372091,54136001
2016,Sarawak,12379545,118705219
2017,Other,9601474,73629859
2017,Pahang,3585238,40962541
2017,Sabah,7372091,33842106
2017,Sarawak,12379545,109060544
2018,Other,9601474,64336576
2018,Pahang,3585238,31837425
2018,Sabah,7372091,30871759
2018,Sarawak,12379545,98992412
2019,Other,9601474,62930423
2019,Pahang,3585238,30060307
2019,Sabah,7372091,26467419
2019,Sarawak,12379545,79985029
2020,Other,9601474,41331040
2020,Pahang,3585238,22824586
2020,Sabah,7372091,20562367
2020,Sarawak,12379545,46688536
2021,Other,9601474,45621233
2021,Pahang,3585238,23278271
2021,Sabah,7372091,21207572
2021,Sarawak,12379545,45653199
2022,Other,9601474,38568247
2022,Pahang,3585238,16098470
2022,Sabah,7372091,20153878
2022,Sarawak,12379545,47435841
