country,subnational1,area_ha,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Malaysia,Johor,1911485,30,1593783,159877994,100,13701427,7741444,5959982,14080994,13434658,5045020,15639807,18440835,15209180,17115978,8309024,21384172,13599835,24365470,15733919,8531067,19167657,11703403,17855981,16722163,11669352,11492822,7982444,7901281,6046323
Malaysia,Kedah,951787,30,676030,77913295,115,5259923,3190382,2069541,1257422,3540028,2069481,3310479,3698004,4106015,3179279,5351493,4130121,6951273,4426538,5107978,3816707,8717694,8274821,9518175,10250117,8404860,6893634,5029638,4312246,3372310
Malaysia,Kelantan,1513205,30,1344075,163993524,122,13094445,5912193,7182252,4294011,3870165,3040321,6649602,6385643,6363530,13960966,7472625,19492397,19433725,13752514,24206068,11298874,26676856,16326586,18271263,14333971,16709363,19215005,10893225,13107446,12323633
Malaysia,Kuala Lumpur,27198,30,4827,414389,86,28070,32324,-4254,16189,55547,22927,75157,36953,36568,26549,27813,39754,39292,17537,25988,978,26992,16435,21972,54600,36194,16472,6270,11037,6327
Malaysia,Labuan,9066,30,4323,403863,93,22300,27172,-4872,11563,10525,7148,5786,13302,11292,23850,20062,18570,12448,30160,65894,9577,37099,44576,65514,20015,16358,10357,16944,16950,22610
Malaysia,Melaka,165403,30,112675,9291768,82,1155546,697196,458350,816616,796675,439689,485070,1547516,807212,1396922,910917,1455432,264055,1261246,1088913,470081,2027517,1105845,2256715,1866030,1768802,1877576,1039320,943834,796033
Malaysia,Negeri Sembilan,666738,30,559821,58715699,105,5462467,3117364,2345103,5649208,6817518,2415427,2996328,4580737,3269610,4845624,4506273,9115080,2531501,7957214,12982002,3280956,7768059,4891627,8353096,7330371,6174179,4796904,3383042,3740996,2788519
Malaysia,Pahang,3585238,30,3295418,420480303,128,28019195,9485087,18534108,15513022,21121808,9584388,21889527,31515413,23872638,23869649,17733488,29796939,30006073,26541969,48103725,21622693,43501482,31278330,55409537,40962541,31837425,30060307,22824586,23278271,16098470
Malaysia,Perak,2091110,30,1766056,205281845,116,7279855,5316064,1963790,3305594,4718963,2615259,3819849,6203257,4212511,6848048,5118860,9814619,8634580,9433174,9479235,5597916,12186622,9330592,12251099,10829565,8194107,8080205,6420773,7681938,5380044
Malaysia,Perlis,82349,30,27367,2719784,99,93027,147090,-54062,114229,58343,19280,36824,75352,30347,34508,31794,93921,64461,26214,39986,59672,182505,124123,240288,177435,109162,126378,159911,97765,144106
Malaysia,Pulau Pinang,105622,30,46677,4001163,86,97456,158720,-61263,16438,61336,54152,82698,112505,95729,78606,78580,151630,165503,96167,116669,49712,154364,118358,168551,133247,85190,84421,77488,89066,73630
Malaysia,Putrajaya,6173,30,1583,120859,76,6567,11119,-4552,8546,13642,9217,7440,3807,1500,4369,692,5555,1694,1703,1953,1502,4885,4485,11358,13633,13919,9516,6416,12774,5868
Malaysia,Sabah,7372091,30,6684138,827865730,124,38527824,23744512,14783312,30504940,29345748,18733443,43712671,39521412,44465205,35082789,47199903,55672027,50929834,39326584,56421384,29061513,68404103,51989474,54136001,33842106,30871759,26467419,20562367,21207572,20153878
Malaysia,Sarawak,12379545,30,11643005,1552792014,133,112116885,39790391,72326494,50220307,52419183,60203695,91244840,103637432,97956150,152903678,140234290,276369034,117525138,167511455,225940181,100817758,170897158,112170381,118705219,109060544,98992412,79985029,46688536,45653199,47435841
Malaysia,Selangor,782443,30,564558,54064971,96,3109460,2591329,518131,4094673,3378792,1509357,3490271,3621544,1770912,3646279,2715750,6326792,4036288,1394515,2650491,1287901,7218670,1964783,3989146,3100241,3369929,2897072,1733194,2816861,1394662
Malaysia,Trengganu,1288895,30,1106226,138785265,125,6550677,3859604,2691072,3323453,3805825,2068182,6278519,5134323,4756703,4993286,6086549,8730869,10074527,6143847,9024779,6025767,8837484,7764499,11366984,8798471,7785161,7430061,4582375,4889039,6214182
