Entity,Code,Year,Deforestation as share of forest area
Africa,,1990,0.551278600269179
Africa,,2000,0.6076056338028168
Africa,,2010,0.657396449704142
Africa,,2015,0.6929356357927786
Algeria,DZA,1990,0.8878224355128975
Algeria,DZA,2000,0.9183027232425586
Algeria,DZA,2010,0.072992700729927
Algeria,DZA,2015,0.27607361963190186
Argentina,ARG,1990,0.6067492330416998
Argentina,ARG,2000,0.9808856132782072
Argentina,ARG,2010,0.8022770900906865
Argentina,ARG,2015,0.4632780011685054
Aruba,ABW,1990,0
Aruba,ABW,2000,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Asia,,1990,0.7128205128205128
Asia,,2000,0.4572402044293015
Asia,,2010,0.4787234042553191
Asia,,2015,0.35874799357945425
Australia,AUS,1990,0.4677246116361996
Australia,AUS,2000,0.4796907159401004
Australia,AUS,2010,0.32176962486713223
Austria,AUT,1990,0.09137451101393924
Austria,AUT,2000,0.20296289348486507
Austria,AUT,2010,0.1501346034375647
Austria,AUT,2015,0.1496963560145213
Azerbaijan,AZE,2010,7.907098373834128
Azerbaijan,AZE,2015,8.011949271261445
Bahrain,BHR,1990,4.545454545454546
Bahrain,BHR,2000,2.702702702702702
Bahrain,BHR,2010,0
Bahrain,BHR,2015,0
Bangladesh,BGD,1990,0.3905578728656012
Bangladesh,BGD,2000,0.16663802575598985
Bangladesh,BGD,2010,0.9632799178114112
Bangladesh,BGD,2015,0
Belarus,BLR,2000,0.08703009790886015
Belarus,BLR,2010,0.047508690614136734
Belarus,BLR,2015,0.04053975791973128
Belgium,BEL,2010,0.26236827228318377
Belgium,BEL,2015,0.21761207021616133
Belize,BLZ,1990,0.8793585120278995
Belize,BLZ,2000,0.4652915781539094
Belize,BLZ,2010,0.8416044387267408
Belize,BLZ,2015,0.8373160868227756
Bhutan,BTN,1990,0
Bhutan,BTN,2000,0.007290867229470452
Bhutan,BTN,2010,0.012567968683579213
Bhutan,BTN,2015,0.015836887425511384
Bolivia,BOL,1990,0.4676607723383142
Bolivia,BOL,2000,0.36305799182198495
Bolivia,BOL,2010,0.35920951678229346
Bolivia,BOL,2015,0.4661790501203024
Brazil,BRA,1990,0.7225020292138877
Brazil,BRA,2000,0.9307577765172425
Brazil,BRA,2010,0.3651036874534164
Brazil,BRA,2015,0.33652533277447544
Bulgaria,BGR,1990,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2015,0
Burundi,BDI,1990,2.9839409722222214
Burundi,BDI,2000,0
Burundi,BDI,2010,0
Burundi,BDI,2015,0
Cameroon,CMR,1990,0.4024444444444445
Cameroon,CMR,2000,0.3319830221011793
Cameroon,CMR,2010,0.2775055883884007
Cameroon,CMR,2015,0.28127376278340754
Canada,CAN,1990,0.01562567610408308
Canada,CAN,2000,0.014505380748705941
Canada,CAN,2010,0.0118909758175269
Canada,CAN,2015,0.010809075740190495
Cape Verde,CPV,2000,7.15005035246727
Cape Verde,CPV,2010,4.4475655430711605
Cape Verde,CPV,2015,1.8543645409317049
Cayman Islands,CYM,1990,0.15232292460015232
Cayman Islands,CYM,2000,0.15467904098994587
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Central African Republic,CAF,1990,0.12929362582424686
Central African Republic,CAF,2000,0.13098720691612453
Central African Republic,CAF,2010,0.13272574437021634
Central African Republic,CAF,2015,0.133612434863938
Chile,CHL,1990,0.06631225792910295
Chile,CHL,2000,0.08983970472388675
Chile,CHL,2010,0.06738310794570608
Chile,CHL,2015,0.053420989220326336
China,CHN,1990,0.208437552639964
China,CHN,2000,0.17670001590390538
China,CHN,2010,0.16448301428869236
China,CHN,2015,0.06333982027563757
Colombia,COL,1990,0.3527348535533807
Colombia,COL,2000,0.3416406978504993
Colombia,COL,2010,0.2354468070620557
Colombia,COL,2015,0.33130643791783304
Congo,COG,1990,0.053775487340354026
Congo,COG,2000,0.0540662311331381
Congo,COG,2010,0.05436013590033975
Congo,COG,2015,0.06268453327276857
Costa Rica,CRI,1990,0.3367269725527963
Costa Rica,CRI,2000,0.09274749581761292
Costa Rica,CRI,2010,0
Costa Rica,CRI,2015,0
Croatia,HRV,2000,0.01750663129973475
Croatia,HRV,2010,0.0046875
Croatia,HRV,2015,0.002601456815816857
Cuba,CUB,1990,0
Cuba,CUB,2000,0
Cuba,CUB,2010,0
Cuba,CUB,2015,0
Denmark,DNK,1990,0.005645039891615233
Denmark,DNK,2000,0.031490552834149754
Denmark,DNK,2010,0.044331531654418666
Denmark,DNK,2015,0.09925081641800602
Djibouti,DJI,1990,0
Djibouti,DJI,2000,0
Djibouti,DJI,2010,0
Djibouti,DJI,2015,2.8571428571428568
Dominican Republic,DOM,1990,0.038874154330392686
Dominican Republic,DOM,2000,0.01267446399691757
Dominican Republic,DOM,2010,0.8918924133672919
Ecuador,ECU,1990,0.8880408359366083
Ecuador,ECU,2000,0.7653035213575616
Ecuador,ECU,2010,0.7378615141473988
Ecuador,ECU,2015,0.6803867330047632
El Salvador,SLV,1990,0.6259737369241042
El Salvador,SLV,2000,0.6677746779842109
El Salvador,SLV,2010,0.7155578170716194
El Salvador,SLV,2015,0.7421089086051651
