country,category,value
Australia,Stable Forest,80328275.65
Australia,Forest Loss,2517149.647
Australia,Forest Gain,1600595.931
Australia,Disturbed Forest,6456183.336
Bahrain,Stable Forest,55.03928004
Bahrain,Forest Loss,0
Bahrain,Forest Gain,62.2524651
Bahrain,Disturbed Forest,0
Brunei,Stable Forest,484942.5848
Brunei,Forest Loss,10606.02793
Brunei,Forest Gain,7531.553715
Brunei,Disturbed Forest,28194.881
Finland,Stable Forest,16589946.98
Finland,Forest Loss,1728477.533
Finland,Forest Gain,1357034.206
Finland,Disturbed Forest,3174829.638
Indonesia,Stable Forest,124187188.6
Indonesia,Forest Loss,9000754.243
Indonesia,Forest Gain,4882137.053
Indonesia,Disturbed Forest,24056932.8
Kuwait,Stable Forest,13.44885141
Kuwait,Forest Loss,0
Kuwait,Forest Gain,51.43582891
Kuwait,Disturbed Forest,0
Malaysia,Stable Forest,18799585.55
Malaysia,Forest Loss,2129694.713
Malaysia,Forest Gain,1004944.913
Malaysia,Disturbed Forest,8829933.147
Norway,Stable Forest,9465432.115
Norway,Forest Loss,621934.9451
Norway,Forest Gain,476527.2834
Norway,Disturbed Forest,670142.8423
Saudi Arabia,Stable Forest,16036.47174
Saudi Arabia,Forest Loss,0
Saudi Arabia,Forest Gain,7598.985564
Saudi Arabia,Disturbed Forest,0
Slovenia,Stable Forest,1265908.483
Slovenia,Forest Loss,14322.77802
Slovenia,Forest Gain,7767.609089
Slovenia,Disturbed Forest,78528.31584
Sweden,Stable Forest,21241909.9
Sweden,Forest Loss,2633627.627
Sweden,Forest Gain,1671299.507
Sweden,Disturbed Forest,3655699.634
United States of America,Stable Forest,237725811.8
United States of America,Forest Loss,17472750.87
United States of America,Forest Gain,13986759.49
United States of America,Disturbed Forest,28365368.84
