plantation_type,row,col
Oil Palm,10,9
Oil Palm,10,8
Oil Palm,10,7
Oil Palm,10,6
Oil Palm,10,5
Oil Palm,10,4
Oil Palm,10,3
Oil Palm,10,2
Oil Palm,10,1
Oil Palm,10,0
Oil Palm,9,9
Oil Palm,9,8
Oil Palm,9,7
Oil Palm,9,6
Oil Palm,9,5
Oil Palm,9,4
Oil Palm,9,3
Oil Palm,9,2
Oil Palm,9,1
Oil Palm,9,0
Oil Palm,8,9
Oil Palm,8,8
Oil Palm,8,7
Oil Palm,8,6
Oil Palm,8,5
Oil Palm,8,4
Oil Palm,8,3
Oil Palm,8,2
Oil Palm,8,1
Oil Palm,8,0
Oil Palm,7,9
Oil Palm,7,8
Oil Palm,7,7
Oil Palm,7,6
Oil Palm,7,5
Oil Palm,7,4
Oil Palm,7,3
Oil Palm,7,2
Oil Palm,7,1
Oil Palm,7,0
Oil Palm,6,9
Oil Palm,6,8
Oil Palm,6,7
Oil Palm,6,6
Oil Palm,6,5
Oil Palm,6,4
Oil Palm,6,3
Oil Palm,6,2
Oil Palm,6,1
Oil Palm,6,0
Oil Palm,5,0
Oil Palm,5,1
Oil Palm,5,2
Oil Palm,5,3
Oil Palm,5,4
Oil Palm,5,5
Oil Palm,5,6
Rubber,5,7
Rubber,5,8
Rubber,5,9
Rubber,4,0
Rubber,4,1
Rubber,4,2
Rubber,4,3
Rubber,4,4
Rubber,4,5
Rubber,4,6
Rubber,4,7
Rubber,4,8
Rubber,4,9
Rubber,3,0
Rubber,3,1
Rubber,3,2
Rubber,3,3
Rubber,3,4
Rubber,3,5
Rubber,3,6
Rubber,3,7
Fruit,3,8
Fruit,3,9
Fruit,2,0
Fruit,2,1
Fruit,2,2
Fruit,2,3
Timber,2,4
Timber,2,5
Timber,2,6
Other,2,7
Other,2,8
Other,2,9
Other,1,9
Other,1,8
Other,1,7
Other,1,6
Other,1,5
Other,1,4
Other,1,3
Other,1,2
Other,1,1
Other,1,0
