Continent,Year,Global_Forest_Share,Tree_number
Africa,1990,17.53,83689900
Asia,1990,13.45,63289900
Europe,1990,23.83,115189900
Northern America,1990,15.36,72839900
Oceania,1990,4.37,17889900
Other,1990,2.48,8439900
South America,1990,22.98,110939900
Africa,1991,17.49,83485919
Asia,1991,13.48,63435919
Europe,1991,23.9,115535919
Northern America,1991,15.39,72985919
Oceania,1991,4.37,17885919
Other,1991,2.46,8335919
South America,1991,22.91,110585919
Africa,1992,17.44,83231936
Asia,1992,13.88,65431936
Europe,1992,23.6,114031936
Northern America,1992,15.42,73131936
Oceania,1992,4.37,17881936
Other,1992,2.46,8331936
South America,1992,22.83,110181936
Africa,1993,17.4,83027951
Asia,1993,13.91,65577951
Europe,1993,23.66,114327951
Northern America,1993,15.45,73277951
Oceania,1993,4.38,17927951
Other,1993,2.45,8277951
South America,1993,22.75,109777951
Africa,1994,17.35,82773964
Asia,1994,13.94,65723964
Europe,1994,23.72,114623964
Northern America,1994,15.48,73423964
Oceania,1994,4.38,17923964
Other,1994,2.46,8323964
South America,1994,22.67,109373964
Africa,1995,17.31,82569975
Asia,1995,13.97,65869975
Europe,1995,23.78,114919975
Northern America,1995,15.51,73569975
Oceania,1995,4.39,17969975
Other,1995,2.45,8269975
South America,1995,22.59,108969975
Africa,1996,17.26,82315984
Asia,1996,14,66015984
Europe,1996,23.85,115265984
Northern America,1996,15.54,73715984
Oceania,1996,4.39,17965984
Other,1996,2.45,8265984
South America,1996,22.51,108565984
Africa,1997,17.22,82111991
Asia,1997,14.03,66161991
Europe,1997,23.91,115561991
Northern America,1997,15.57,73861991
Oceania,1997,4.4,18011991
Other,1997,2.44,8211991
South America,1997,22.43,108161991
Africa,1998,17.17,81857996
Asia,1998,14.06,66307996
Europe,1998,23.98,115907996
Northern America,1998,15.6,74007996
Oceania,1998,4.4,18007996
Other,1998,2.44,8207996
South America,1998,22.35,107757996
Africa,1999,17.12,81603999
Asia,1999,14.1,66503999
Europe,1999,24.04,116203999
Northern America,1999,15.63,74153999
Oceania,1999,4.4,18003999
Other,1999,2.44,8203999
South America,1999,22.27,107353999
Africa,2000,17.08,81400000
Asia,2000,14.13,66650000
Europe,2000,24.1,116500000
Northern America,2000,15.66,74300000
Oceania,2000,4.41,18050000
Other,2000,2.43,8150000
South America,2000,22.19,106950000
Africa,2001,17.02,81095999
Asia,2001,14.2,66995999
Europe,2001,24.16,116795999
Northern America,2001,15.7,74495999
Oceania,2001,4.41,18045999
Other,2001,2.42,8095999
South America,2001,22.09,106445999
Africa,2002,16.95,80741996
Asia,2002,14.28,67391996
Europe,2002,24.22,117091996
Northern America,2002,15.73,74641996
Oceania,2002,4.41,18041996
Other,2002,2.42,8091996
South America,2002,21.99,105941996
Africa,2003,16.89,80437991
Asia,2003,14.35,67737991
Europe,2003,24.28,117387991
Northern America,2003,15.76,74787991
Oceania,2003,4.41,18037991
Other,2003,2.42,8087991
South America,2003,21.89,105437991
Africa,2004,16.83,80133984
Asia,2004,14.43,68133984
Europe,2004,24.34,117683984
Northern America,2004,15.79,74933984
Oceania,2004,4.41,18033984
Other,2004,2.41,8033984
South America,2004,21.79,104933984
Africa,2005,16.77,79829975
Asia,2005,14.5,68479975
Europe,2005,24.4,117979975
Northern America,2005,15.82,75079975
Oceania,2005,4.41,18029975
Other,2005,2.41,8029975
South America,2005,21.69,104429975
Africa,2006,16.71,79525964
Asia,2006,14.58,68875964
Europe,2006,24.46,118275964
Northern America,2006,15.85,75225964
Oceania,2006,4.41,18025964
Other,2006,2.4,7975964
South America,2006,21.59,103925964
Africa,2007,16.65,79221951
Asia,2007,14.65,69221951
Europe,2007,24.51,118521951
Northern America,2007,15.88,75371951
Oceania,2007,4.41,18021951
Other,2007,2.41,8021951
South America,2007,21.49,103421951
Africa,2008,16.59,78917936
Asia,2008,14.73,69617936
Europe,2008,24.57,118817936
Northern America,2008,15.91,75517936
Oceania,2008,4.41,18017936
Other,2008,2.4,7967936
South America,2008,21.39,102917936
Africa,2009,16.52,78563919
Asia,2009,14.8,69963919
Europe,2009,24.63,119113919
Northern America,2009,15.94,75663919
Oceania,2009,4.41,18013919
Other,2009,2.41,8013919
South America,2009,21.29,102413919
Africa,2010,16.46,78259900
Asia,2010,14.88,70359900
Europe,2010,24.69,119409900
Northern America,2010,15.98,75859900
Oceania,2010,4.41,18009900
Other,2010,2.39,7909900
South America,2010,21.19,101909900
Africa,2011,16.39,77905879
Asia,2011,14.92,70555879
Europe,2011,24.73,119605879
Northern America,2011,16,75955879
Oceania,2011,4.43,18105879
Other,2011,2.38,7855879
South America,2011,21.15,101705879
Africa,2012,16.31,77501856
Asia,2012,14.96,70751856
Europe,2012,24.77,119801856
Northern America,2012,16.02,76051856
Oceania,2012,4.45,18201856
Other,2012,2.39,7901856
South America,2012,21.1,101451856
Africa,2013,16.23,77097831
Asia,2013,15,70947831
Europe,2013,24.8,119947831
Northern America,2013,16.05,76197831
Oceania,2013,4.47,18297831
Other,2013,2.39,7897831
South America,2013,21.06,101247831
Africa,2014,16.15,76693804
Asia,2014,15.04,71143804
Europe,2014,24.84,120143804
Northern America,2014,16.07,76293804
Oceania,2014,4.49,18393804
Other,2014,2.39,7893804
South America,2014,21.02,101043804
Africa,2015,16.08,76339775
Asia,2015,15.09,71389775
Europe,2015,24.87,120289775
Northern America,2015,16.09,76389775
Oceania,2015,4.52,18539775
Other,2015,2.38,7839775
South America,2015,20.97,100789775
Africa,2016,16,75935744
Asia,2016,15.14,71635744
Europe,2016,24.91,120485744
Northern America,2016,16.11,76485744
Oceania,2016,4.53,18585744
Other,2016,2.37,7785744
South America,2016,20.94,100635744
Africa,2017,15.92,75531711
Asia,2017,15.19,71881711
Europe,2017,24.95,120681711
Northern America,2017,16.13,76581711
Oceania,2017,4.54,18631711
Other,2017,2.37,7781711
South America,2017,20.9,100431711
Africa,2018,15.84,75127676
Asia,2018,15.24,72127676
Europe,2018,24.99,120877676
Northern America,2018,16.14,76627676
Oceania,2018,4.54,18627676
Other,2018,2.38,7827676
South America,2018,20.87,100277676
Africa,2019,15.76,74723639
Asia,2019,15.29,72373639
Europe,2019,25.03,121073639
Northern America,2019,16.16,76723639
Oceania,2019,4.55,18673639
Other,2019,2.38,7823639
South America,2019,20.83,100073639
Africa,2020,15.68,74319600
Asia,2020,15.34,72619600
Europe,2020,25.07,121269600
Northern America,2020,16.18,76819600
Oceania,2020,4.56,18719600
Other,2020,2.37,7769600
South America,2020,20.8,99919600
