country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Malaysia,Johor,0,1911485,161690598,85,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,10,1625635,161322141,99,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,15,1614670,160842410,100,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,20,1606540,160463313,100,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,25,1601965,160254374,100,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,30,1593783,159877994,100,13701427,7741444,5959982,14080994,13434658,5045020,15639807,18440835,15209180,17115978,8309024,21384172,13599835,24365470,15733919,8531067,19167657,11703403,17855981,16722163,11669352,11492822,7982444,7901281,6046323
Malaysia,Johor,50,1551382,157627402,102,13569084,7439542,6129542,14000010,13372904,5014706,15556344,18337757,15153635,17058325,8281893,21328536,13578598,24319418,15678759,8446520,18902457,11531141,17498525,16424056,11438975,11219988,7785432,7711280,5880580
Malaysia,Johor,75,1391685,147208845,106,12762880,6333357,6429522,13377318,12805843,4716309,14657525,17384153,14602698,16489043,8025244,20740698,13325223,23873185,15279021,7968182,17480572,10653983,15713794,14942455,10305106,9926452,6819193,6627776,5069586
Malaysia,Kedah,0,951787,79675819,84,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,10,693911,79000112,114,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,15,687911,78642913,114,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,20,683626,78375777,115,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,25,681331,78241635,115,,,,,,,,,,,,,,,,,,,,,,,,,
