country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Malaysia,Johor,Batu Pahat,0,198079,12559041,63,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,10,165072,12513804,76,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,15,163478,12445657,76,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,20,162303,12392369,76,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,25,161666,12363710,76,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,30,160446,12308338,77,1475309,1521902,-46593,1624214,1135173,676098,1639571,1722054,1161491,2779913,654605,1884748,830246,2327121,1291628,585213,1599296,1149252,2378159,2175635,1566881,1727386,1227198,1358500,962422
Malaysia,Johor,Batu Pahat,50,153927,11978043,78,1459865,1457347,2519,1616172,1129442,671982,1630036,1713535,1157241,2768124,651335,1878270,829308,2321112,1285693,579170,1579131,1133916,2330422,2141871,1538731,1689201,1202613,1331051,938683
Malaysia,Johor,Batu Pahat,75,130399,10572028,81,1364195,1220663,143531,1537023,1066290,632671,1537297,1622490,1111034,2666005,620217,1811626,811464,2263600,1245853,543600,1464031,1046466,2091001,1956641,1392505,1508760,1071125,1186715,825870
Malaysia,Johor,Johor Baharu,0,97833,4624225,47,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,10,56373,4578697,81,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,15,55438,4542650,82,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,20,55011,4525071,82,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,25,54665,4511364,83,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,30,54076,4486954,83,433375,345514,87861,235603,239895,61001,459222,498043,690798,257777,210403,726483,415876,225160,423417,138296,539383,421521,597309,664142,808872,744125,725520,267674,183725
Malaysia,Johor,Johor Baharu,50,51632,4364581,85,425571,331582,93989,232654,235372,59566,449754,491174,682830,255781,209251,722407,413821,223935,419448,136030,526391,408873,578820,649069,796739,722510,713893,256297,177944
Malaysia,Johor,Johor Baharu,75,43363,3849346,89,381790,285024,96766,207454,198219,48821,383233,431145,617581,232346,198065,684729,391675,215153,395573,121413,455531,340053,491950,574518,741728,662268,650684,206490,150748
Malaysia,Johor,Keluang,0,287337,24585006,86,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,10,242618,24518278,101,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,15,240879,24438381,101,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,20,239491,24371980,102,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,25,238772,24337380,102,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,30,237610,24281383,102,1588938,607424,981513,3121078,2305474,1520437,2722655,2076302,1803125,2144020,1209441,2872269,2030124,2291852,1696972,764247,1475454,1197358,1334766,894085,601160,831565,630843,969489,463909
Malaysia,Johor,Keluang,50,231234,23927826,103,1567107,573953,993153,3103478,2295500,1512049,2712816,2066757,1795331,2132942,1204412,2861401,2026883,2284354,1688066,744328,1404269,1150008,1273248,848555,576855,804298,605985,939564,445249
